project,avg_block_statement_count,avg_script_width_count,avg_variable_length_count,backdrop_count,block_count,category_entropy,cohesion,ct_score_average,ct_score,ct_score_abstraction,ct_score_data_representation,ct_score_flow_control,ct_score_logic,ct_score_parallelization,ct_score_synchronization,ct_score_user_interactivity,control_block_count,costume_count,events_block_count,halstead_difficulty,halstead_effort,halstead_length,halstead_size,halstead_volume,hat_count,interprocedural_cyclomatic_complexity,interprocedural_slice_coverage,length_longest_script,looks_block_count,most_complex_script,motion_block_count,my_blocks_block_count,nested_block_count,operators_block_count,pen_block_count,procedure_count,using_pen,script_count,sensing_block_count,sound_block_count,sprite_count,stacked_statement_count,statement_count,token_entropy,variable_count,variables_block_count,weighted_method_count,weighted_method_count_strict
FallingStars,1.8461538461538463,2676.0,11.5,2.0,168.0,17.73580300243976,3.8532382650029713,2.4285714285714284,17.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,29.0,6.0,3.0,45.964285714285715,70716.89088225161,247.0,75.0,1538.5182165524825,4.0,31.0,0.5512820512820512,24.0,5.0,10.0,14.0,16.0,2.0,28.0,0.0,7.0,0.0,4.0,11.0,0.0,4.0,8.0,91.0,6.81359552911384,14.0,51.0,34.0,34.0
CatchingApples,1.4,646.0,5.0,1.0,35.0,6.372385855673376,1.3922077922077922,1.7142857142857142,12.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,12.0,2.0,2.0,11.5,3304.9173469250522,54.0,40.0,287.3841171239176,3.0,14.0,1.0476190476190474,10.0,2.0,4.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,25.0,5.569702316978282,1.0,2.0,10.0,10.0
HackAttack,1.2580645161290323,1983.0,5.5,1.0,117.0,26.313251460068194,13.267318465847877,2.142857142857143,15.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,27.0,14.0,24.0,31.0,32835.774565704334,174.0,68.0,1059.218534377559,19.0,44.0,0.8607709750566893,11.0,25.0,4.0,13.0,0.0,2.0,3.0,0.0,0.0,0.0,19.0,8.0,0.0,6.0,2.0,93.0,6.245478697158434,2.0,6.0,37.0,37.0
CatchTheGifts,1.3970588235294117,1676.0,6.75,2.0,95.0,19.274314612098586,6.389329189329189,2.2857142857142856,16.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,19.0,6.0,7.0,35.0,33251.62277294303,153.0,74.0,950.0463649412295,7.0,24.0,0.296875,21.0,13.0,4.0,11.0,11.0,2.0,12.0,0.0,4.0,0.0,7.0,3.0,0.0,3.0,4.0,68.0,6.571533614133503,4.0,15.0,21.0,21.0
Dodgeball,1.3974358974358974,2001.0,9.0,1.0,109.0,18.625820986659626,4.8784917980570155,2.2857142857142856,16.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,32.0,11.0,10.0,36.0,38327.393668585064,172.0,73.0,1064.649824127363,10.0,38.0,0.7633928571428571,21.0,11.0,7.0,21.0,0.0,2.0,11.0,0.0,0.0,0.0,10.0,10.0,0.0,4.0,4.0,78.0,6.50604422577863,2.0,7.0,32.0,32.0
CityDefender,1.3711340206185567,2662.0,13.0,2.0,133.0,26.270703247004004,6.253787878787879,2.4285714285714284,17.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,39.0,18.0,10.0,38.75,48657.617918959404,207.0,67.0,1255.6804624247588,12.0,46.0,0.699047619047619,11.0,24.0,4.0,9.0,0.0,2.0,10.0,0.0,0.0,0.0,12.0,12.0,0.0,10.0,4.0,97.0,5.97504755494267,3.0,20.0,35.0,35.0
CatchTheDots,1.4634146341463414,2146.0,7.5,1.0,120.0,20.432134972958444,5.0857142857142845,2.2857142857142856,16.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,34.0,4.0,7.0,41.0,44077.21762443076,182.0,60.0,1075.0540884007503,10.0,30.0,0.7055555555555556,13.0,6.0,4.0,14.0,2.0,2.0,4.0,0.0,1.0,0.0,10.0,8.0,6.0,4.0,4.0,82.0,6.074818799630981,6.0,31.0,27.0,27.0
Dragons,2.1076115485564304,12330.0,10.20588207244873,2.0,803.0,56.84587325082797,18.044935406770776,2.7142857142857144,19.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,112.0,91.0,36.0,115.95092024539878,1126129.2950618083,1245.0,223.0,9712.12037540078,33.0,141.0,0.8573820995798792,41.0,56.0,22.0,66.0,10.0,6.0,210.0,7.0,4.0,1.0,33.0,26.0,8.0,6.0,11.0,381.0,8.527223766658292,34.0,245.0,129.0,129.0
FruitCatching,1.490909090909091,1228.0,5.0,2.0,82.0,9.016181577294928,1.3946953405017921,1.7142857142857142,12.0,0.0,2.0,3.0,1.0,1.0,3.0,2.0,17.0,3.0,4.0,24.9375,16982.182737125437,124.0,45.0,680.9897839448797,4.0,18.0,0.8,23.0,13.0,5.0,15.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,6.0,0.0,3.0,2.0,55.0,5.591552061106808,2.0,12.0,16.0,16.0
RioShootout,1.312,2999.0,2.75,1.0,164.0,41.652698563819285,17.785714285714285,2.2857142857142856,16.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,32.0,11.0,32.0,43.77358490566038,81082.4232992756,289.0,85.0,1852.3139805437959,26.0,51.0,0.9847826086956522,11.0,25.0,4.0,27.0,0.0,2.0,15.0,0.0,0.0,0.0,26.0,4.0,4.0,8.0,6.0,125.0,6.7234043731717215,4.0,15.0,43.0,43.0
DessertRally,1.3568075117370892,4788.0,4.666666507720947,11.0,289.0,49.22206648048841,14.85550864340338,2.4285714285714284,17.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,76.0,16.0,29.0,53.69565217391304,161405.09995658643,445.0,108.0,3005.9249384627437,27.0,77.0,0.7999730931019752,24.0,60.0,4.0,48.0,0.0,2.0,34.0,0.0,0.0,0.0,27.0,8.0,0.0,10.0,5.0,213.0,7.071307771522102,3.0,20.0,73.0,73.0
FlappyParrot,1.2972972972972974,948.0,5.0,1.0,48.0,13.251561988595604,4.832967032967033,2.2857142857142856,16.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,14.0,3.0,6.0,16.333333333333336,7463.067787792528,78.0,58.0,456.9225176199506,7.0,17.0,0.8229166666666666,7.0,7.0,3.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,3.0,37.0,6.019313917552466,1.0,2.0,13.0,13.0
WhackAMole,1.1994884910485935,8645.0,5.0,2.0,469.0,85.10385464640052,41.87264957264957,2.4285714285714284,17.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,122.0,38.0,45.0,115.5,538576.0999539413,766.0,68.0,4662.99653639776,42.0,96.0,1.5169413919413919,19.0,140.0,10.0,1.0,54.0,2.0,36.0,0.0,18.0,0.0,49.0,13.0,1.0,10.0,3.0,391.0,6.016357902121846,3.0,45.0,98.0,91.0
BirdShooter,1.3768115942028984,1552.0,5.666666507720947,2.0,95.0,19.18195757243786,6.73946053946054,2.4285714285714284,17.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,26.0,6.0,10.0,29.33823529411765,24910.65256598339,139.0,69.0,849.0848994921656,10.0,31.0,0.7111111111111111,13.0,10.0,4.0,16.0,3.0,2.0,8.0,0.0,1.0,0.0,10.0,7.0,1.0,4.0,4.0,69.0,6.343957084141564,3.0,6.0,25.0,25.0
Snake,1.3333333333333333,1565.0,10.5,1.0,80.0,21.934020164638312,10.497243107769421,2.7142857142857144,19.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,17.0,4.0,15.0,26.666666666666668,20235.155851775606,126.0,65.0,758.8183444415852,14.0,29.0,1.0666666666666667,11.0,9.0,4.0,13.0,0.0,2.0,7.0,0.0,0.0,0.0,14.0,4.0,2.0,3.0,3.0,60.0,6.148679701326048,2.0,8.0,21.0,21.0
LineUp,1.5,1390.0,7.0,1.0,75.0,9.947930091516733,2.852164502164502,1.7142857142857142,12.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,7.0,45.0,5.0,43.84615384615385,35138.9644745424,138.0,56.0,801.4149792439495,4.0,11.0,0.36643356643356645,12.0,13.0,3.0,6.0,10.0,2.0,7.0,2.0,2.0,1.0,4.0,0.0,0.0,2.0,6.0,50.0,6.03099582837886,6.0,24.0,10.0,10.0
DieZauberlehrlinge,1.6206896551724137,2506.0,11.333333015441895,1.0,141.0,25.695324510075505,11.146098003629763,2.2857142857142856,16.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,17.0,6.0,15.0,40.59574468085106,57712.28249802585,223.0,83.0,1421.6337931903643,13.0,36.0,1.3523026315789473,26.0,13.0,8.0,27.0,0.0,5.0,22.0,4.0,0.0,1.0,14.0,8.0,6.0,4.0,9.0,87.0,6.554676805777957,3.0,24.0,29.0,28.0
FinalFight,1.4545454545454546,6766.0,4.5,1.0,416.0,73.38642048548525,31.164821582289495,2.4285714285714284,17.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,92.0,41.0,61.0,51.18018018018018,220643.9425261434,591.0,157.0,4311.120862594951,47.0,117.0,0.9155959126872439,20.0,84.0,8.0,35.0,0.0,3.0,39.0,0.0,0.0,0.0,48.0,19.0,8.0,13.0,6.0,286.0,7.607128044856585,2.0,30.0,102.0,101.0
OceanCleanup,1.5320512820512822,4460.0,9.75,3.0,239.0,36.12771774704467,14.734311740890687,2.0,14.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,37.0,23.0,24.0,66.5142857142857,157685.75961778543,403.0,59.0,2370.7051488928223,22.0,61.0,1.1481840924775708,24.0,24.0,7.0,55.0,0.0,3.0,34.0,0.0,0.0,0.0,22.0,19.0,0.0,11.0,3.0,156.0,5.876466035358723,4.0,25.0,56.0,56.0
BrainGame,1.25,1700.0,6.25,2.0,95.0,24.32351063144386,14.23232323232323,2.2857142857142856,16.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,11.0,8.0,22.0,31.5,27570.90601524643,147.0,62.0,875.2668576268708,18.0,33.0,1.0804362304362305,14.0,24.0,3.0,0.0,3.0,2.0,7.0,0.0,1.0,0.0,18.0,3.0,2.0,3.0,6.0,76.0,6.130457869141973,4.0,15.0,27.0,27.0
SpaceOdyssey,1.1810344827586208,2605.0,0.0,1.0,137.0,22.302870211610458,6.796268173728127,1.5714285714285714,11.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,43.0,6.0,13.0,27.38888888888889,36394.986054476976,214.0,74.0,1328.8230202445955,13.0,37.0,0.549619708994709,29.0,34.0,6.0,20.0,0.0,3.0,5.0,0.0,0.0,0.0,13.0,8.0,6.0,4.0,2.0,116.0,6.5115644855298145,0.0,0.0,36.0,36.0
EndlessRunner,1.4049079754601228,3877.0,4.714285850524902,2.0,229.0,42.0801628169527,21.64619467042334,2.5714285714285716,18.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,43.0,34.0,35.0,42.75,103332.23851688163,360.0,105.0,2417.128386359804,28.0,68.0,1.0996026822639726,19.0,36.0,6.0,20.0,0.0,2.0,19.0,0.0,0.0,0.0,29.0,6.0,0.0,8.0,6.0,163.0,7.036980943718141,7.0,57.0,52.0,51.0
Pong,1.4,412.0,0.0,1.0,21.0,4.196325565235062,1.175,1.2857142857142858,9.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,7.041666666666666,1046.4155947625711,32.0,25.0,148.60339807279118,2.0,8.0,0.49166666666666664,11.0,0.0,4.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,15.0,4.875,0.0,0.0,6.0,6.0
