projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.7,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.77,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.79,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.39,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.38,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,1.0,4.34,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.77,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.8,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,-2.8000000000000003,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.63,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,2.0,5.550000000000001,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.77,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.66,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.51,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.25,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,67,69,5.0,13.52,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.690000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.690000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.43,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.3000000000000003,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,2.0,5.68,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.67,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.76,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.690000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,2.0,6.62,,,,,,,,
