projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,64,0.0,0.14,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,64,0.0,6.75,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,64,0.0,2.64,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,64,0.0,0.21,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,61,64,0.0,2.7300000000000004,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,64,0.0,2.7300000000000004,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,65,0.0,0.14,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,65,0.0,6.680000000000001,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,65,0.0,2.51,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,65,0.0,0.26,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,61,65,0.0,1.91,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,65,0.0,2.7,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,55,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,55,0.0,7.32,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,55,0.0,2.67,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,55,0.0,0.29,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,51,55,0.0,3.54,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,55,0.0,2.7300000000000004,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,65,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,65,0.0,7.09,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,65,0.0,2.6100000000000003,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,65,0.0,0.24,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,61,65,0.0,1.92,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,65,0.0,2.85,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,65,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,65,0.0,6.800000000000001,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,65,0.0,2.49,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,65,0.0,0.29,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,61,65,0.0,1.93,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,65,0.0,2.6500000000000004,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,65,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,65,0.0,6.7700000000000005,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,65,0.0,2.58,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,65,0.0,0.21,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,61,65,0.0,1.93,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,65,0.0,2.66,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,55,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,55,0.0,6.710000000000001,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,55,0.0,2.47,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,55,0.0,0.25,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,51,55,0.0,3.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,55,0.0,2.75,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,65,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,65,0.0,6.98,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,65,0.0,2.44,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,65,0.0,0.26,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,61,65,0.0,1.97,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,65,0.0,2.8100000000000005,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,65,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,65,0.0,6.680000000000001,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,65,0.0,2.45,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,65,0.0,0.28,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,61,65,0.0,1.96,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,52,65,0.0,2.7,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,40,68,0.0,0.16,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,43,68,0.0,6.82,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,42,68,0.0,2.51,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,50,68,0.0,0.28,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,61,68,0.0,2.01,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-10.js_1.js,69,55,68,1.0,2.92,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,40,64,0.0,0.16,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,42,64,0.0,6.61,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,50,64,0.0,0.19,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,51,64,0.0,0.4499999999999999,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,61,64,0.0,2.64,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,52,64,0.0,2.58,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,40,65,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,43,65,0.0,6.6000000000000005,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,50,65,0.0,0.25,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,51,65,0.0,0.47,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,61,65,0.0,2.01,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,52,65,0.0,2.45,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,40,65,0.0,0.14,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,43,65,0.0,6.8500000000000005,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,50,65,0.0,0.21,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,51,65,0.0,0.4499999999999999,,,,,,,,
